N,Serial,2,4,6,8,12,16,20
10,0.31636,0.1622,0.08153,0.05345,0.04017,0.02678,0.02026,0.01659
11,2.941675,1.59587,0.79905,0.53351,0.40965,0.29094,0.20199,0.17562
12,32.44037,17.66298,8.79543,5.86616,4.76224,2.97984,2.21398,1.83122
13,395.165115,213.03479,106.38733,71.11015,54.10956,35.69195,26.80886,21.86657
14,5289.317205,2830.50466,1419.9074,950.49467,709.79262,477.29106,364.20919,288.12203
